week,number,title,difficulty,topic,estimated_time,url
1,1,Two Sum,Easy,Array,15 mins,https://leetcode.com/problems/two-sum/
1,2,Valid Parentheses,Easy,Stack,20 mins,https://leetcode.com/problems/valid-parentheses/
1,3,Merge Two Sorted Lists,Easy,Linked List,20 mins,https://leetcode.com/problems/merge-two-sorted-lists/
1,4,Best Time to Buy and Sell Stock,Easy,Array,20 mins,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
1,5,Valid Palindrome,Easy,String,15 mins,https://leetcode.com/problems/valid-palindrome/
1,6,Invert Binary Tree,Easy,Binary Tree,15 mins,https://leetcode.com/problems/invert-binary-tree/
1,7,Valid Anagram,Easy,String,15 mins,https://leetcode.com/problems/valid-anagram/
1,8,Binary Search,Easy,Binary Search,15 mins,https://leetcode.com/problems/binary-search/
1,9,Flood Fill,Easy,Graph,20 mins,https://leetcode.com/problems/flood-fill/
1,10,Lowest Common Ancestor of a Binary Search Tree,Easy,Binary Search Tree,20 mins,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
1,11,Balanced Binary Tree,Easy,Binary Tree,15 mins,https://leetcode.com/problems/balanced-binary-tree/
1,12,Linked List Cycle,Easy,Linked List,20 mins,https://leetcode.com/problems/linked-list-cycle/
1,13,Implement Queue using Stacks,Easy,Stack,20 mins,https://leetcode.com/problems/implement-queue-using-stacks/
1,14,First Bad Version,Easy,Binary Search,20 mins,https://leetcode.com/problems/first-bad-version/
1,15,Ransom Note,Easy,Hash Table,15 mins,https://leetcode.com/problems/ransom-note/
1,16,Climbing Stairs,Easy,Dynamic Programming,20 mins,https://leetcode.com/problems/climbing-stairs/
1,17,Longest Palindrome,Easy,String,20 mins,https://leetcode.com/problems/longest-palindrome/
1,18,Reverse Linked List,Easy,Linked List,20 mins,https://leetcode.com/problems/reverse-linked-list/
1,19,Majority Element,Easy,Array,20 mins,https://leetcode.com/problems/majority-element/
1,20,Add Binary,Easy,Binary,15 mins,https://leetcode.com/problems/add-binary/
1,21,Diameter of Binary Tree,Easy,Binary Tree,30 mins,https://leetcode.com/problems/diameter-of-binary-tree/
1,22,Middle of the Linked List,Easy,Linked List,20 mins,https://leetcode.com/problems/middle-of-the-linked-list/
1,23,Maximum Depth of Binary Tree,Easy,Binary Tree,15 mins,https://leetcode.com/problems/maximum-depth-of-binary-tree/
1,24,Contains Duplicate,Easy,Array,15 mins,https://leetcode.com/problems/contains-duplicate/
1,25,Meeting Rooms,Easy,Array,20 mins,https://leetcode.com/problems/meeting-rooms/
1,26,Roman to Integer,Easy,Math,20 mins,https://leetcode.com/problems/roman-to-integer/
1,27,Backspace String Compare,Easy,Stack,15 mins,https://leetcode.com/problems/backspace-string-compare/
1,28,Counting Bits,Easy,Binary,15 mins,https://leetcode.com/problems/counting-bits/
1,29,Same Tree,Easy,Binary Tree,20 mins,https://leetcode.com/problems/same-tree/
1,30,Number of 1 Bits,Easy,Binary,15 mins,https://leetcode.com/problems/number-of-1-bits/
1,31,Longest Common Prefix,Easy,String,20 mins,https://leetcode.com/problems/longest-common-prefix/
1,32,Single Number,Easy,Binary,15 mins,https://leetcode.com/problems/single-number/
1,33,Palindrome Linked List,Easy,Linked List,20 mins,https://leetcode.com/problems/palindrome-linked-list/
1,34,Move Zeroes,Easy,Array,20 mins,https://leetcode.com/problems/move-zeroes/
1,35,Symmetric Tree,Easy,Binary Tree,20 mins,https://leetcode.com/problems/symmetric-tree/
1,36,Missing Number,Easy,Binary,15 mins,https://leetcode.com/problems/missing-number/
1,37,Palindrome Number,Easy,Math,15 mins,https://leetcode.com/problems/palindrome-number/
1,38,Convert Sorted Array to Binary Search Tree,Easy,Binary Search Tree,20 mins,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/
1,39,Reverse Bits,Easy,Binary,15 mins,https://leetcode.com/problems/reverse-bits/
1,40,Subtree of Another Tree,Easy,Binary Tree,20 mins,https://leetcode.com/problems/subtree-of-another-tree/
1,41,Squares of a Sorted Array,Easy,Array,20 mins,https://leetcode.com/problems/squares-of-a-sorted-array/
1,42,Maximum Subarray,Medium,Dynamic Programming,20 mins,https://leetcode.com/problems/maximum-subarray/
1,43,Insert Interval,Medium,Array,25 mins,https://leetcode.com/problems/insert-interval/
1,44,01 Matrix,Medium,Graph,30 mins,https://leetcode.com/problems/01-matrix/
1,45,K Closest Points to Origin,Medium,Heap,30 mins,https://leetcode.com/problems/k-closest-points-to-origin/
1,46,Longest Substring Without Repeating Characters,Medium,String,30 mins,https://leetcode.com/problems/longest-substring-without-repeating-characters/
1,47,3Sum,Medium,Array,30 mins,https://leetcode.com/problems/3sum/
1,48,Binary Tree Level Order Traversal,Medium,Binary Tree,20 mins,https://leetcode.com/problems/binary-tree-level-order-traversal/
1,49,Clone Graph,Medium,Graph,25 mins,https://leetcode.com/problems/clone-graph/
1,50,Evaluate Reverse Polish Notation,Medium,Stack,30 mins,https://leetcode.com/problems/evaluate-reverse-polish-notation/
